citystate,country,category,issue_type,tag_line,past_violation,ongoing_violation,respecting_restrictions,regulatory_deal,bannedexited,protest,strike,violence,drivers_organising,crackdown,legislation,lawsuit_court_ruling_or_prosecution,fare_cutcommission_increase,2_sentence_summary,outcome,actors,date_open,date_closed,link_1,extra_links,upcoming_flashpoint,notes,,lat,long,location
National,USA,Corporate citizenship,Data issues,Got hacked,,,,,,,,,,,,1,,"Uber alleged that Lyft hacked it and stole data, while Lyft alleged that a former senior employee had broken a nondisclosure agreement after moving to Uber",Lawsuits settled out of court,,,Jun-16,http://fortune.com/2016/06/30/uber-lyft-settlement-did-not-require-either-side-to-pay/,http://fortune.com/2016/06/30/uber-lyft-settlement-did-not-require-either-side-to-pay/,,,,37.09024,-95.712891,USA
San Francisco,USA,Corporate citizenship,Data issues,Didn't respect data privacy,,,,,,,,,,,,1,,Uber agreed to pay $7.5 million to settle a lawsuit by drivers who claimed that the company terminated drivers based on consumer background reports on drivers without permission. The settlement was to require a judge's permission.,,,,Jun-16,http://www.reuters.com/article/us-uber-lawsuit-idUSKCN0Z12GS,,,,,37.7749295,-122.4194155,"San Francisco, USA"
"Mississauga, Ontario",Canada,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,,1,,,,,,,,"Taxi drivers angry at proposals to legalise Uber shouted down a city council meeting, which was then held behind closed doors",,,Feb-16,Jul-16,http://toronto.ctvnews.ca/mississauga-committee-meeting-postponed-amid-rowdy-anti-uber-protest-1.2963753,,,,,43.5890452,-79.6441198,"Mississauga, Ontario, Canada"
National,Colombia,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,,1,,1,,,,,,"A former vice president's daughter was one passenger caught up in one of several ""raids"" on unlicensed Uber drivers by taxi drivers who say their livelihood is threatened by the service",,,,,http://www.bloomberg.com/news/articles/2015-03-20/uber-drivers-threatened-in-bogota-as-colombia-taxi-war-heats-up,http://thecitypaperbogota.com/bogota/attack-against-bogota-uber-puts-life-of-former-vps-daughers-at-risk/11806,,,,4.570868,-74.297333,Colombia
Cairo,Egypt,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,,1,,,,,,,,"Taxi drivers protested against light-touch regulation for Uber drivers, who did not require a licence, insurance, or to pay mandatory union fees",,,,,http://qz.com/611570/now-its-cairo-taxi-drivers-turn-to-say-theyre-fed-up-with-uber/,,,,,30.0444196,31.2357116,"Cairo, Egypt"
National,Japan,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,1,,,,,,,,,"The federation representing Japanese taxi drivers criticised Toyota, a national institution, for its collaboration with Uber. ""Toyota is sending supplies to our enemy,"" said the federation's chairman.",,,,,http://www.bloomberg.com/news/articles/2016-07-11/toyota-gets-an-uber-blowback-from-outraged-japanese-taxi-drivers,,,,,36.204824,138.252924,Japan
Nairobi,Kenya,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,,1,,,,,,,,"An umbrella organisation for taxi drivers promised to bring the city to a halt unless the government shuts down Uber. The organisation has denied that its members are behind an attack on an Uber driver.
",,Kenya's United Taxi Organisation,,,http://qz.com/608977/nairobi-taxi-drivers-are-trying-to-shut-down-uber-with-protests-and-intimidation/,http://www.npr.org/2016/04/06/473201903/uber-drivers-in-nairobi-discover-not-all-taxi-drivers-welcome-competition / https://www.theguardian.com/world/2016/mar/23/uber-taxi-set-on-fire-nairobi-kenya-industry-dispute / http://www.voanews.com/content/nairobi-taxi-drivers-say-uber-driving-them-out-business/3178587.html / http://www.al-monitor.com/pulse/fr/contents/articles/originals/2016/01/israel-netanyahu-power-struggle-transportation-minister-katz.html,,,,-1.2920659,36.8219462,"Nairobi, Kenya"
Guadalajara,Mexico,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,1,1,,,,1,,1,,,,,,"""A protest against Uber in Guadalajara, Mexico, turned violent [...], as taxi drivers demonstrating against Uber and other ride-hailing services clashed with supporters of the companies and with police.""",Riot,,Jun-16,,http://uk.businessinsider.com/uber-protest-in-mexico-turns-violent-and-causes-street-riot-2016-3?r=US&IR=T,,,,,20.6596988,-103.3496092,"Guadalajara, Mexico"
Cape Town,South Africa,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,1,1,,,,1,,1,,,,,,20 meter taxi drivers who blocked a street in protest against Uber were dispersed by police deploying stun grenades. 15 were arrested and charged with public disorder.,,,,,http://ewn.co.za/2016/07/14/Stun-grenades-fired-during-CT-protest-against-Uber,http://www.iol.co.za/news/south-africa/western-cape/well-burn-uber-down-say-metered-taxi-drivers-2046122,,,,-33.9248685,18.4240553,"Cape Town, South Africa"
Johannesburg,South Africa,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,,1,,,,,,,,"""The South African National Taxi Council (Santaco) has described the alleged special treatment government is giving Uber drivers as a recipe for violence""",, South African National Taxi Council ,Jun-16,,http://ewn.co.za/2016/07/03/Santaco-warns-govt-of-special-treatment-its-giving-Uber-drivers,,,,,-26.2041028,28.0473051,"Johannesburg, South Africa"
National,Taiwan,Corporate citizenship,Legacy industry,Taxi drivers have suffered from the arrival of Uber,,,,,,,,,,,,,,"Since Uber arrived in Taiwan in 2013, the country's taxi business has fallen by between 30 and 50%, an industry representative claimed.",,Taxicab and Intercity Bus Business Association,,,http://technews.co/2016/07/12/how-much-longer-will-uber-last-in-taiwan/,,,,,23.69781,120.960515,Taiwan
Boston,USA,Corporate citizenship,Legacy industry,Taxi drivers argued Uber should be subject to the same regulations,,,,,,,,,,,,1,,"A federal judge ordered Boston to set out plans to regulate ride hailing companies, and to treat them like legacy cabs in the meantime. The judge rejected representations from the city and state of Massachusetts that ride hailing apps were qualitatively different. The judgement may have prompted regulatory legislation passed in August 2016.",,,,Mar-16,http://commonwealthmagazine.org/transportation/fed-judge-says-uber-lyft-no-different-than-taxis/,,,,,42.3600825,-71.0588801,"Boston, USA"
"Cambridge, MA",USA,Corporate citizenship,Legacy industry,Taxi drivers argued Uber should be subject to the same regulations,,,,,,,,,,,,1,,"Legacy industry drivers have launched a lawsuit, complaining that they are subject to onerous regulations and costs not applied to Uber
",,,Jun-16,,http://www.bizjournals.com/boston/blog/techflash/2016/06/cambridge-taxi-group-sues-city-over-burdensome.html,,,,,42.3736158,-71.10973349999999,"Cambridge, MA, USA"
Philadelphia,USA,Corporate citizenship,Legacy industry,Taxi drivers protested Uber's impact on their livelihoods,,,,,1,,,,1,,,,,"Uber drivers and cabbies picketed an Uber event at the Democratic National Convention, protesting pay, poor service for disabled riders, and poor driver treatment",,"Fair Ride Philly, Philadelphia Limousine Drivers Association",,,http://billypenn.com/2016/07/25/philly-cabbies-to-picket-ubers-swanky-party-for-dnc-delegates-tonight/,,,,,39.9525839,-75.1652215,"Philadelphia, USA"
New South Wales,Australia,Corporate citizenship,Legacy industry issues,A tax on Uber helped traditional taxi drivers,,,,Ride tax,,,,,,,1,,,Ridesharing services were legalised as part of a package that levied a one dollar per trip fee to help fund an adjustment package for taxi drivers. But a proposal for minimum standards of pay for rideshare drivers was knocked back.,,,,,http://www.smh.com.au/nsw/spotlight-turns-to-pay-and-conditions-for-uber-drivers-after-ridesharing-laws-passed-20160623-gpq3es.html,http://www.businessinsider.com.au/how-uber-made-taxi-fares-in-nsw-more-expensive-2016-7,,,,-31.2532183,146.921099,"New South Wales, Australia"
Christchurch,New Zealand,Corporate citizenship,"Legacy industry, Regulation",Taxi drivers protested Uber's impact on their livelihoods,1,1,,,,1,,,,,,,,"Taxi drivers protested over plummeting incomes, while regulators said that Uber was breaking the law by failing to carry out proper driver checks",Official would not comment on whether any action was planned,,Jul-16,,"http://www.radionz.co.nz/news/national/307950/crack-down-on-uber,-urge-taxi-drivers",http://www.stuff.co.nz/business/81770081/passenger-safety-at-risk-with-1700-uber-drivers-who-havent-been-vetted-properly / http://www.radionz.co.nz/news/national/308034/uber-will-continue-to-defy-licensing-rules / http://www.radionz.co.nz/news/on-the-inside/308145/why-uber-will-triumph-in-the-end,,,,-43.5320544,172.6362254,"Christchurch, New Zealand"
London,UK,Regulation and lobbying,Lobbying,Hired expensive lobbyists to influence politicians,,,,,,,,,,,,,,"Uber hired Princess Beatrice's boyfriend, amongst other well-connected, highly paid lobbyists to influence public policy around the world. ""There is, he says, a certain Uber 'type' emerging and ruffling feathers on the London tech scene, which still likes to promote a craft-beer-and-ping-pong sort of image. 'They're all extroverts, they're all super- connected, they all went to a great university. They're probably all members of Annabel's and Loulou's. If you follow Uber employees on Instagram, you'll see they've flown to Val d'Isère or Whistler for the weekend,' says Pleeth.""",,,,,http://www.tatler.com/news/articles/december-2015/uberpool-has-landed,,,,,51.5073509,-0.1277583,"London, UK"
Boston,USA,Regulation and lobbying,Lobbying,Hired expensive lobbyists to influence politicians,,,,,,,,,,,,,,"Uber and Lyft, which have been trying to influence the Legislature as it molds regulations for the ride-sharing industry, spent more than $317,000 combined in the first six months of this year on lobbyists. That included $93,000 in fees paid by Lyft for what records described as “public relations ex-penses.”""",,,,,http://www.bostonherald.com/business/real_estate/2016/07/firms_fatten_lobbyists_coffers,https://www.bostonglobe.com/metro/2016/06/28/uber-legislation-creates-windfall-for-lobbyists/RwKSYDooLGddusnzZDlKbP/story.html,,,,42.3600825,-71.0588801,"Boston, USA"
New York state,USA,Regulation and lobbying,Lobbying,Hired expensive lobbyists to influence politicians,,,,,,,,,,,,,,"Uber spent more than $750,000 in the first half of 2016 on lobbying and campaigning – unsuccessfully, by the end of that time –in New York state. Their opponents spent less than half that amount.",,,,,http://www.nydailynews.com/news/politics/uber-lyft-spent-1m-nys-lobbying-2016-article-1.2741680,,,,,43.2994285,-74.21793260000001,"New York state, USA"
Portland,USA,Regulation and lobbying,Lobbying,Hired expensive lobbyists to influence politicians,,,,,,,,,,,,,,"An intense lobbying drive, including former Obama aide David proof and 10 full-time local lobbyists, was part of a campaign which successfully turned both riders and drivers into advocates for the company. The campaign, which ultimately steamrollered City Hall opposition, was emblematic of Uber's playbook.",,,,,http://www.bloomberg.com/news/features/2015-06-23/this-is-how-uber-takes-over-a-city,,,,,45.5230622,-122.6764816,"Portland, USA"
National,India,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,"February 2015, April 2016","Uber slashed fares by up to 22% in 10 of the 26 Indian cities in which it operated in April 2016, compounding a 40% cut in February the previous year in all cities except Calcutta. The company claimed, as it had in other locations, that due to increased ride frequency, drivers as well as riders would ultimately benefit.",,,,,http://timesofindia.indiatimes.com/india/Uber-slashes-fares-in-10-cities/articleshow/51789535.cms,http://timesofindia.indiatimes.com/tech/tech-news/Uber-cuts-fares-by-up-to-40-in-India/articleshow/46396283.cms / https://newsroom.uber.com/india/price-cut/ / ,,,,20.593684,78.96288,India
National,Kenya,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,1,1,1,,,,July 2016,"Hundreds of Uber drivers went on strike in Kenya for a day to protest against cuts to fares by up to 35%. The drivers, organised in the Kenya taxi Digital Association also demanded that Uber reduce its commission from 25% to 15% and commission threatened to leave to another service.
",,,,,http://www.reuters.com/article/us-kenya-uber-idUSKCN10D18P,,,,,-0.023559,37.906193,Kenya
National,Mexico,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,1,,1,,,,,"Mexican Uber drivers went on strike for a day in July 2016, against Uber Pool, ""a system that pays very little"" and demanding that Uber reduce its commission and stop new drivers registering with the service.",,Uber Partners' Union,Jul-16,,https://panampost.com/luis-mosquera/2016/07/15/uber-drivers-strike-mexico-demand-end-uberpool/,,,,,23.634501,-102.552784,Mexico
National,New Zealand,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,April 2016,"After an April 2016 fair cut and a move to allow unlicensed operators to drive for Uber, several drivers said that working for the company had become unsustainable.
",,,,,http://www.stuff.co.nz/auckland/80698018/Unhappy-Uber-drivers-abandon-company,,,,,-40.900557,174.885971,New Zealand
Cape Town,South Africa,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,1,,About 500 Uber drivers have joined a local union in a bid to institute legal action against the company over pay and working conditions,, South Africa Transport and Allied Workers Union,Jul-16,,http://www.timeslive.co.za/local/2016/07/05/Disgruntled-Uber-drivers-seek-Satawu%E2%80%99s-help,http://buzzsouthafrica.com/uber-drivers-set-to-roast-firm-for-abusing-africans/ / http://www.bdlive.co.za/business/transport/2016/07/07/uber-rides-into-storm-over-driver-union-move,,,,-33.9248685,18.4240553,"Cape Town, South Africa"
National,Taiwan,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,?,,,,May 2016,"A unilateral 15% fare reduction and commission hike in three cities in May 2016 led some drivers to talk about a strike. But because the service is illegal in the country, there was no prospect of legal recourse.",,,,,http://www.totaltaipei.com/uber-cuts-fares-drivers-threaten-strike/,,,,,23.69781,120.960515,Taiwan
Birmingham,UK,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,1,,1,,,,,Uber drivers announced that they planned to stage a 24-hour strike in protest against falling earnings. The announcement was made by the Midland Uber Driver Forum.,,Uber Driver Forum,Jun-16,,http://www.birminghammail.co.uk/news/midlands-news/uber-drivers-stage-24-hour-11420697,,,,,52.48624299999999,-1.890401,"Birmingham, UK"
London,UK,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,1,,,1,,,,,"Up to 300 people, including Uber drivers, protested against low pay outside the company's London office",,,,,https://www.theguardian.com/business/2015/nov/12/uber-drivers-protest-at-fee-hike-in-first-london-demo?CMP=share_btn_tw,,,,,51.5073509,-0.1277583,"London, UK"
Chicago,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,1,,,,,"Chicago Uber drivers begun to band together after finding adding some weeks they earned just nine dollars an hour, after expenses and before tax",,Drive4Chicago,,,http://www.chicagobusiness.com/article/20160507/ISSUE01/305079998/the-uber-drivers-lament-9-an-hour,,,,,41.8781136,-87.6297982,"Chicago, USA"
Cleveland,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,1,"Uber invited drivers from outside Cleveland to work in the city during the Republican National Convention, but a flood of new entrants lowered earnings to below minimum wage in some cases. Drivers also spoke about previous fare cuts.",,,,,http://fusion.net/story/328144/uber-drivers-cleveland-republican-convention/,,,,,41.49932,-81.6943605,"Cleveland, USA"
"Denver, Houston, Detroit",USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,January 2016,"Internal Uber data covering more than 1 million rides in three cities – Denver, Detroit, and Huston – suggested that drivers earned an average of between $13.17 and $8.77 per hour, depending on the market, after commission and expenses.",,,,,https://www.buzzfeed.com/carolineodonovan/internal-uber-driver-pay-numbers?utm_term=.wy83zMwZ1#.smWBZKMxL,,,,,,,"Denver, Houston, Detroit, USA"
Las Vegas,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,1,A Las Vegas Uber driver described how his earnings were cut nearly in half after a rate cut in early 2016,,,,,http://www.ktnv.com/news/uber-drivers-struggle-to-make-ends-meet,,,,,36.1699412,-115.1398296,"Las Vegas, USA"
Los Angeles,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,1,,,,,,,,"More than 50 Uber drivers protested in North Hollywood against a September 2014 fare cut, which one described as the fourth in 18 months. Drivers complained that so-called ""Uber math"", which implies that lower fares can lead to equivalent or improved income through lower downtime, doesn't work.",,,,,https://pando.com/2014/09/03/frustrated-uber-drivers-take-to-the-streets-to-protest-shrinking-fares/,,,,,34.0522342,-118.2436849,"Los Angeles, USA"
National,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,,Fare cuts of up to 45% in more than 100 US cities in January 2016 left many Uber drivers saying that they were having trouble making ends meet.,,,,,http://observer.com/2016/01/uber-drivers-plan-boycott-after-fare-cuts-slash-their-earnings-to-below-minimum-wage/,https://medium.com/the-wtf-economy/not-cool-uber-194198bed715#.aqxw23ea1 / https://newsroom.uber.com/beating-the-winter-slump-price-cuts-for-riders-and-guaranteed-earnings-for-drivers/ / http://www.bloomberg.com/news/articles/2016-01-09/uber-drops-prices-in-80-cities-in-the-u-s-and-canada,,,,37.09024,-95.712891,USA
New York,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,,"A sample of payslips from eight New York City taxi drivers examined in November 2014 showed that ""the average net income per hour for the eight drivers was $21.90, roughly 10 dollars per hour less than the combined hourly wage from the raw Uber data.""",,,,,https://www.buzzfeed.com/johanabhuiyan/what-uber-drivers-really-make-according-to-their-pay-stubs,,,,,40.7127837,-74.0059413,"New York, USA"
Philadelphia,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,,"A local journalist who worked as an Uber driver in Philadelphia during summer 2015 found that she made just $9.34 an hour, after commission and expenses. To take home $90,000 a year, a figure used by the company, she would have needed to work 27 hours a day, 365 days a year.",,,,,http://uk.businessinsider.com/uber-driver-earnings-2015-5,https://mycitypaper.com/uberdriver/,,,,39.9525839,-75.1652215,"Philadelphia, USA"
"Portland, Oregon",USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,,"After a US-wide price cut in January 2016, Portland drivers say they are taking home around seven dollars power, down from nine dollars.
",,,,,http://www.wweek.com/news/2016/03/11/uber-and-lyft-drivers-complain-their-take-home-pay-is-dropping/,,,,,45.5230622,-122.6764816,"Portland, Oregon, USA"
Washington DC,USA,Pay and worker treatment,Pay,Left drivers struggling after fare cuts,,,,,,,,,,,,,January 2015,"Following a January 2015 fare cut, Uber drivers in Washington DC described trouble making ends meet. Despite limited evidence from Uber that fare cuts can in some circumstances lead to increased driver revenue – at least pre-costs – drivers said that that was not their experience.",,,,,http://observer.com/2015/02/uber-drivers-are-scrambling-to-make-ends-meet-after-latest-fare-cuts/,https://www.washingtonpost.com/local/trafficandcommuting/some-uber-drivers-say-companys-promise-of-big-pay-day-doesnt-match-reality/2014/09/06/17f5d82c-224a-11e4-958c-268a320a60ce_story.html,,,,38.9071923,-77.0368707,"Washington DC, USA"
National,Australia,Pay and worker treatment,Predatory finance,Offered sub-prime auto loans to recruit drivers,,,,,,,,,,,,,,Uber partnered with and promoted sub-prime auto-finance lenders to prospective drivers without vehicles. Those who took up the offer were faced with exorbitant repayments.,,,,,http://www.smh.com.au/business/consumer-affairs/uber-battles-claims-of-subprime-car-finance-20160523-gp1vbe.html,,,,,-25.274398,133.775136,Australia
California ,USA,Pay and worker treatment,Predatory finance,Offered sub-prime auto loans to recruit drivers,,,,,,,,,,,,,,"Regulators initiated investigations of Uber's financing deals to allow drivers to acquire cars at what a commentator said were ""awful"" terms",,,,,http://www.eastbaytimes.com/business/ci_30157414/desperately-seeking-drivers-uber-and-lyft-offer-car,,,,,36.778261,-119.4179324,"California , USA"
Illinois,USA,Pay and worker treatment,Predatory finance,Offered sub-prime auto loans to recruit drivers,,,,,,,,,,,,,,"Uber has been offering incentives, including minimum fares, cash payments and lease schemes – of the sort that have been elsewhere criticised as predatory finance – to drivers in central Illinois",,,,,http://www.illinoishomepage.net/news/local-news/uber-drivers-join-with-incentives,,,,,40.6331249,-89.3985283,"Illinois, USA"
National,USA,Pay and worker treatment,Predatory finance,Offered sub-prime auto loans to recruit drivers,,,,,,,,,,,,,,"In order to get new Uber drivers onto the road, the company has begun to target those who don't have cars, and who wouldn't ordinarily be able to afford them, through a car lease scheme. Auto-finance experts said the leases are ""expensive, even predatory,"" Bloomberg summarised.",,,May-16,,http://www.bloomberg.com/news/articles/2016-05-31/inside-uber-s-auto-lease-machine-where-almost-anyone-can-get-a-car,,,,,37.09024,-95.712891,USA
National,Argentina,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,1,,"Uber resorted to using bitcoin in attempts to bypass a government crackdown, which followed the company's refusal to cease operations despite being ruled illegal. The authorities responded with a ban on payments to the company, as well as arrests.",Law enforcement crackdown,,,,http://uk.businessinsider.com/argentina-crackdown-on-uber-2016-4?r=US&IR=T,http://www.buenosairesherald.com/article/212678/uber-offices-raided-following-taxi-drivers-protests / https://fee.org/articles/uber-argentina-turns-to-bitcoin-to-evade-government-crackdown/  / http://www.bloomberg.com/news/articles/2016-07-07/uber-tries-to-circumvent-argentinian-authorities-via-xapo-s-card,,,,-38.416097,-63.61667199999999,Argentina
National,Australia,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,1,,1,,,,,,,,,A Northern Territory Cabinet meeting banned Uber from operating. The Labour Party said in June 2016 that it would allow the company to operate if it won the August election. It failed to do so.,,,Feb-16,,http://www.news.com.au/finance/business/travel/uber-to-be-legalised-across-most-australian-states/news-story/0e1de5b1a8ca365ffbb9166b4ffff86a,http://www.abc.net.au/news/2016-02-22/nt-govt-bans-ride-sharing-company-uber/7190848,,,,-25.274398,133.775136,Australia
Northern Territory,Australia,Regulation and lobbying,Regulation,"Withdrew, was banned, or not permitted",,,1,,1,,,,,,,,,"The NT government blocked changes to legalise ridesharing apps in February 2016. The Labor Party promised that if it won elections slated for August 2016, it would legalise Uber.",No action yet,,,,http://www.ntnews.com.au/business/labor-planning-to-allow-uber-to-operate-in-northern-territory-if-it-wins-august-election/news-story/77a12b0cfb612b880e633342226b9af2?nk=741ff5d66faf69e13e2c307d1dfd33e6-1467136749,http://www.abc.net.au/news/2016-02-22/nt-govt-bans-ride-sharing-company-uber/7190848 / http://www.ntnews.com.au/business/labor-planning-to-allow-uber-to-operate-in-northern-territory-if-it-wins-august-election/news-story/77a12b0cfb612b880e633342226b9af2,,,,-19.4914108,132.5509603,"Northern Territory, Australia"
Queensland,Australia,Regulation and lobbying,Regulation,Flouted regulations,1,1,,,,,,,,,,,,Uber drivers were fined more than AU$1.7 million in three months from late April 2016 as a result of the law enforcement campaign to catch drivers. Uber has continued to operate illegally in Queensland and has sought to thwart known officials by blocking their access to the app.,,,,,http://www.brisbanetimes.com.au/queensland/uber-queensland-drivers-fined-17-million-in-three-months-20160719-gq8zv3.html,,,,,-20.9175738,142.7027956,"Queensland, Australia"
